CSV,B,0,10.0,12,12,6683.33,6776.77,79091.66,7191.67
CSV,B,0,10.0,12,10,6683.33,6771.49,14770.83,7254.17
CSV,B,0,10.0,12,8,6683.33,6776.49,14750.00,6933.33
CSV,B,0,10.0,12,6,6683.33,6773.28,14766.67,7066.67
CSV,B,0,10.0,10,12,6683.33,6771.38,14770.83,6950.00
CSV,B,0,10.0,10,10,6683.33,6777.28,14770.83,6950.00
CSV,B,0,10.0,10,8,6683.33,6769.78,14745.83,7083.33
CSV,B,0,10.0,10,6,6683.33,6774.00,14770.83,7070.83
CSV,B,0,10.0,8,12,6683.33,6770.88,14775.00,7066.67
CSV,B,0,10.0,8,10,6683.33,6772.08,14770.83,9100.00
CSV,B,0,10.0,8,8,6683.33,6773.19,14775.00,7300.00
CSV,B,0,10.0,8,6,6683.33,6774.78,14775.00,7066.67
CSV,B,0,10.0,6,12,6683.33,6771.29,14750.00,7170.83
CSV,B,0,10.0,6,10,6716.67,6772.49,14750.00,7025.00
CSV,B,0,10.0,6,8,6716.67,6773.31,14750.00,7041.67
CSV,B,0,10.0,6,6,6716.67,6770.50,14750.00,6933.33
CSV,B,1,20.0,12,12,6683.33,6776.05,14775.00,7170.83
CSV,B,1,20.0,12,10,6683.33,6777.91,14766.67,7145.83
CSV,B,1,20.0,12,8,6683.33,6776.06,14770.83,7166.67
CSV,B,1,20.0,12,6,6683.33,6774.44,14770.83,6933.33
CSV,B,1,20.0,10,12,6683.33,6777.36,14775.00,7116.67
CSV,B,1,20.0,10,10,6683.33,6779.14,14775.00,7170.83
CSV,B,1,20.0,10,8,6683.33,6777.53,14775.00,6933.33
CSV,B,1,20.0,10,6,6683.33,6777.92,14775.00,6929.17
CSV,B,1,20.0,8,12,6683.33,6776.78,14775.00,7058.33
CSV,B,1,20.0,8,10,6683.33,6776.07,14770.83,6941.67
CSV,B,1,20.0,8,8,6683.33,6777.66,14775.00,7091.67
CSV,B,1,20.0,8,6,6683.33,6773.78,14775.00,6962.50
CSV,B,1,20.0,6,12,6716.67,6772.36,14750.00,7012.50
CSV,B,1,20.0,6,10,6716.67,6776.57,14775.00,6929.17
CSV,B,1,20.0,6,8,6716.67,6776.84,14775.00,7062.50
CSV,B,1,20.0,6,6,6716.67,6774.45,14775.00,7170.83
CSV,B,2,50.0,12,12,6683.33,6783.36,14775.00,7075.00
CSV,B,2,50.0,12,10,6683.33,6775.96,14775.00,7125.00
CSV,B,2,50.0,12,8,6683.33,6782.18,14775.00,7070.83
CSV,B,2,50.0,12,6,6683.33,6784.53,14775.00,7158.33
CSV,B,2,50.0,10,12,6683.33,6780.57,14775.00,7129.17
CSV,B,2,50.0,10,10,6683.33,6781.10,14775.00,6950.00
CSV,B,2,50.0,10,8,6683.33,6777.10,14770.83,6929.17
CSV,B,2,50.0,10,6,6683.33,6780.70,14775.00,7066.67
CSV,B,2,50.0,8,12,6683.33,6776.50,14775.00,6995.83
CSV,B,2,50.0,8,10,6683.33,6779.68,14770.83,6950.00
CSV,B,2,50.0,8,8,6683.33,6776.32,14770.83,6929.17
CSV,B,2,50.0,8,6,6683.33,6782.40,14775.00,6929.17
CSV,B,2,50.0,6,12,6716.67,6777.73,14775.00,7154.17
CSV,B,2,50.0,6,10,6716.67,6777.41,14775.00,7079.17
CSV,B,2,50.0,6,8,6716.67,6777.38,14775.00,7075.00
CSV,B,2,50.0,6,6,6716.67,6779.03,14775.00,7166.67
CSV,BF,0,10.0,12,12,1341.67,1362.97,12145.83,1354.17,0.0442
CSV,BF,0,10.0,12,10,1341.67,1363.06,9000.00,1354.17,0.0449
CSV,BF,0,10.0,12,8,1341.67,1361.83,8983.33,1354.17,0.0469
CSV,BF,0,10.0,12,6,1341.67,1361.92,8979.17,1354.17,0.0625
CSV,BF,0,10.0,10,12,1341.67,1359.71,8975.00,1354.17,0.0659
CSV,BF,0,10.0,10,10,1341.67,1358.21,8958.33,1358.33,0.0664
CSV,BF,0,10.0,10,8,1341.67,1360.42,8995.83,1408.33,0.0664
CSV,BF,0,10.0,10,6,1341.67,1360.50,8987.50,1354.17,0.0781
CSV,BF,0,10.0,8,12,1316.67,1338.61,8950.00,1329.17,0.1389
CSV,BF,0,10.0,8,10,1316.67,1335.67,8920.83,1329.17,0.1396
CSV,BF,0,10.0,8,8,1316.67,1334.17,8912.50,1329.17,0.1406
CSV,BF,0,10.0,8,6,1316.67,1333.92,8912.50,1350.00,0.1562
CSV,BF,0,10.0,6,12,1316.67,1335.64,8941.67,1325.00,0.4065
CSV,BF,0,10.0,6,10,1316.67,1335.23,8937.50,1325.00,0.4072
CSV,BF,0,10.0,6,8,1316.67,1339.39,8941.67,1329.17,0.4062
CSV,BF,0,10.0,6,6,1316.67,1335.28,8925.00,1329.17,0.4219
CSV,BF,1,20.0,12,12,1341.67,1361.34,8987.50,1354.17,0.0249
CSV,BF,1,20.0,12,10,1341.67,1359.06,8950.00,1354.17,0.0254
CSV,BF,1,20.0,12,8,1341.67,1359.10,8987.50,1354.17,0.0273
CSV,BF,1,20.0,12,6,1341.67,1359.46,8975.00,1370.83,0.0312
CSV,BF,1,20.0,10,12,1341.67,1357.23,8987.50,1354.17,0.0342
CSV,BF,1,20.0,10,10,1341.67,1357.97,8975.00,1354.17,0.0352
CSV,BF,1,20.0,10,8,1341.67,1359.08,8979.17,1354.17,0.0352
CSV,BF,1,20.0,10,6,1341.67,1359.42,8950.00,1354.17,0.0469
CSV,BF,1,20.0,8,12,1316.67,1334.02,8925.00,1333.33,0.0698
CSV,BF,1,20.0,8,10,1316.67,1331.07,8958.33,1333.33,0.0703
CSV,BF,1,20.0,8,8,1316.67,1335.57,8966.67,1325.00,0.0703
CSV,BF,1,20.0,8,6,1316.67,1332.51,8945.83,1329.17,0.0781
CSV,BF,1,20.0,6,12,1316.67,1334.08,8958.33,1329.17,0.2070
CSV,BF,1,20.0,6,10,1316.67,1334.09,8945.83,1329.17,0.2080
CSV,BF,1,20.0,6,8,1316.67,1332.60,8945.83,1370.83,0.2070
CSV,BF,1,20.0,6,6,1316.67,1332.61,8954.17,1329.17,0.2188
CSV,BF,2,50.0,12,12,1341.67,1356.32,8979.17,1354.17,0.0154
CSV,BF,2,50.0,12,10,1341.67,1358.19,8991.67,1370.83,0.0166
CSV,BF,2,50.0,12,8,1341.67,1358.22,8983.33,1354.17,0.0195
CSV,BF,2,50.0,12,6,1341.67,1357.85,9000.00,1354.17,0.0312
CSV,BF,2,50.0,10,12,1341.67,1357.52,8975.00,1354.17,0.0193
CSV,BF,2,50.0,10,10,1341.67,1356.39,8975.00,1354.17,0.0195
CSV,BF,2,50.0,10,8,1341.67,1357.54,8991.67,1354.17,0.0234
CSV,BF,2,50.0,10,6,1341.67,1359.00,8979.17,1354.17,0.0312
CSV,BF,2,50.0,8,12,1316.67,1331.41,8945.83,1329.17,0.0374
