CSV,A,0.009,-0.0000,0.3320,0
CSV,A,1.146,-0.2449,0.3633,0
CSV,A,2.048,-1.1309,0.3867,0
CSV,A,2.914,-2.0006,0.4023,0
CSV,A,3.792,-2.5615,0.4219,0
CSV,A,4.661,-3.3166,0.4375,0
CSV,A,5.536,-3.7768,0.4570,0
CSV,A,6.412,-4.4347,0.4688,0
CSV,A,7.282,-5.0451,0.4805,0
CSV,A,8.148,-5.6016,0.4883,0
CSV,A,9.016,-6.3586,0.4961,0
CSV,A,9.883,-6.8118,0.5039,0
CSV,A,10.748,-7.4688,0.5039,0
CSV,A,11.622,-7.8314,0.5117,0
CSV,A,12.497,-8.4108,0.5117,0
CSV,A,13.365,-8.6980,0.5195,0
CSV,A,14.236,-8.9621,0.5234,0
CSV,A,15.109,-9.2101,0.5273,0
CSV,A,15.987,-9.4384,0.5312,0
CSV,A,16.856,-10.1234,0.5234,0
CSV,A,17.725,-10.2790,0.5273,0
CSV,A,18.603,-10.1774,0.5352,0
CSV,A,19.471,-10.3232,0.5391,0
CSV,A,20.345,-10.6973,0.5352,0
CSV,A,21.214,-10.8129,0.5391,0
CSV,A,22.085,-10.9368,0.5352,0
CSV,A,22.961,-10.7875,0.5430,0
CSV,A,23.837,-11.3696,0.5352,0
CSV,A,24.705,-11.4272,0.5352,0
CSV,A,25.579,-12.1930,0.5195,0
CSV,A,26.455,-12.1878,0.5195,0
CSV,A,27.333,-12.6547,0.5078,0
CSV,A,28.202,-12.6074,0.5078,0
CSV,A,29.076,-12.7998,0.5000,0
CSV,A,29.953,-12.4960,0.5039,0
CSV,A,30.830,-12.2264,0.5117,0
CSV,A,31.699,-12.2085,0.5078,0
CSV,A,32.576,-12.1982,0.5078,0
CSV,A,33.453,-12.1927,0.5078,0
CSV,A,34.327,-11.9373,0.5156,0
CSV,A,35.196,-11.9474,0.5156,0
CSV,A,36.060,-12.4066,0.5039,0
CSV,A,36.935,-12.3741,0.5039,0
CSV,A,37.809,-12.5894,0.4961,0
CSV,A,38.677,-12.5474,0.4961,0
CSV,A,39.552,-12.0288,0.5078,0
CSV,A,40.430,-12.0265,0.5078,0
CSV,A,41.295,-12.2696,0.5000,0
CSV,A,42.158,-12.4932,0.4961,0
CSV,A,43.023,-12.2141,0.5000,0
CSV,A,43.890,-12.1969,0.5000,0
CSV,A,44.763,-11.9412,0.5039,0
CSV,A,45.629,-12.4259,0.4922,0
CSV,A,46.505,-12.3968,0.4922,0
CSV,A,47.372,-12.6051,0.4883,0
CSV,A,48.244,-12.8068,0.4766,0
CSV,A,49.116,-12.2623,0.4883,0
CSV,A,49.989,-12.2465,0.4883,0
CSV,A,50.857,-12.2320,0.4883,0
CSV,A,51.725,-11.9787,0.4922,0
CSV,A,52.600,-11.5056,0.5039,0
CSV,A,53.468,-12.0251,0.4961,0
CSV,A,54.345,-12.0231,0.4961,0
CSV,A,55.215,-12.4552,0.4844,0
CSV,A,56.087,-11.9489,0.4961,0
CSV,A,56.963,-11.4835,0.5078,0
CSV,A,57.838,-11.5300,0.5078,0
CSV,A,58.704,-11.5781,0.5078,0
CSV,A,59.582,-11.1320,0.5195,0
CSV,A,60.460,-11.6814,0.5078,0
CSV,A,61.335,-11.9469,0.5039,0
CSV,A,62.204,-12.1973,0.4961,0
CSV,A,63.076,-12.4225,0.4922,0
CSV,A,63.953,-12.1488,0.4961,0
CSV,A,64.829,-12.1369,0.4961,0
CSV,A,65.697,-12.3731,0.4922,0
CSV,A,66.574,-11.8790,0.5000,0
CSV,A,67.453,-11.6593,0.5078,0
CSV,A,68.328,-11.2159,0.5156,0
CSV,A,69.197,-11.2830,0.5195,0
CSV,A,70.071,-11.1108,0.5234,0
CSV,A,70.948,-11.1872,0.5273,0
CSV,A,71.823,-11.2574,0.5273,0
CSV,A,72.689,-11.5568,0.5234,0
CSV,A,73.556,-12.0774,0.5117,0
CSV,A,74.435,-12.0712,0.5117,0
CSV,A,75.309,-12.0695,0.5117,0
CSV,A,76.174,-11.5902,0.5234,0
CSV,A,77.038,-11.8742,0.5156,0
CSV,A,77.904,-12.1262,0.5117,0
CSV,A,78.775,-12.3571,0.5078,0
CSV,A,79.643,-11.8505,0.5195,0
CSV,A,80.520,-11.8676,0.5156,0
CSV,A,81.388,-12.1192,0.5117,0
CSV,A,82.249,-12.1116,0.5117,0
CSV,A,83.123,-12.3482,0.5039,0
CSV,A,83.994,-12.3216,0.5078,0
CSV,A,84.862,-11.8164,0.5156,0
CSV,A,85.730,-11.8314,0.5156,0
CSV,A,86.608,-12.0849,0.5117,0
CSV,A,87.476,-11.8433,0.5156,0
CSV,A,88.350,-11.8610,0.5156,0
CSV,A,89.222,-11.8775,0.5156,0
CSV,A,90.096,-11.8925,0.5156,0
CSV,A,90.972,-11.6663,0.5234,0
CSV,A,91.840,-11.6940,0.5234,0
CSV,A,92.706,-12.2036,0.5117,0
CSV,A,93.584,-12.1976,0.5117,0
CSV,A,94.463,-11.7072,0.5234,0
CSV,A,95.339,-11.9707,0.5156,0
CSV,A,96.211,-11.9782,0.5156,0
CSV,A,97.085,-11.9799,0.5156,0
CSV,A,97.961,-11.9836,0.5156,0
CSV,A,98.836,-12.2269,0.5117,0
CSV,A,99.702,-11.9688,0.5156,0
CSV,A,100.578,-12.6913,0.5000,0
CSV,A,101.455,-12.8811,0.4922,0
CSV,A,102.333,-13.0577,0.4844,0
CSV,A,103.202,-12.9784,0.4844,0
CSV,A,104.076,-13.1453,0.4766,0
CSV,A,104.954,-12.8189,0.4805,0
CSV,A,105.830,-12.2734,0.4922,0
CSV,A,106.699,-12.4925,0.4844,0
CSV,A,107.575,-12.4584,0.4844,0
CSV,A,108.453,-12.1871,0.4883,0
CSV,A,109.328,-11.6951,0.5000,0
CSV,A,110.197,-11.9595,0.4922,0
CSV,A,111.071,-11.9633,0.4922,0
CSV,A,111.945,-11.9667,0.4922,0
CSV,A,112.819,-12.2094,0.4883,0
CSV,A,113.685,-12.6726,0.4766,0
CSV,A,114.555,-12.8638,0.4688,0
CSV,A,115.435,-12.7947,0.4688,0
CSV,A,116.309,-12.4911,0.4727,0
CSV,A,117.174,-11.9790,0.4844,0
CSV,A,118.039,-11.9810,0.4844,0
CSV,A,118.908,-12.2262,0.4805,0
CSV,A,119.784,-12.2139,0.4766,0
CSV,A,120.653,-11.7219,0.4883,0
CSV,A,121.529,-11.9845,0.4844,0
CSV,A,122.407,-11.7529,0.4883,0
CSV,A,123.269,-12.2578,0.4766,0
CSV,A,124.134,-12.4826,0.4727,0
CSV,A,125.003,-12.2056,0.4766,0
CSV,A,125.871,-11.9542,0.4805,0
CSV,A,126.740,-11.9641,0.4805,0
CSV,A,127.614,-11.7342,0.4883,0
CSV,A,128.482,-11.5207,0.4922,0
CSV,A,129.358,-11.8029,0.4883,0
CSV,A,130.229,-11.5806,0.4922,0
CSV,A,131.101,-11.3844,0.5000,0
CSV,A,131.978,-11.6736,0.4922,0
CSV,A,132.845,-12.1799,0.4844,0
