CSV,A,0.007,-0.0000,0.3320,0
CSV,A,1.122,-0.4864,0.3594,0
CSV,A,2.003,-0.6992,0.3945,0
CSV,A,2.879,-1.1234,0.4219,0
CSV,A,3.748,-1.5256,0.4531,0
CSV,A,4.623,-1.8944,0.4766,0
CSV,A,5.499,-2.7029,0.4922,0
CSV,A,6.375,-3.4466,0.5078,0
CSV,A,7.246,-4.1309,0.5195,0
CSV,A,8.120,-4.5313,0.5391,0
CSV,A,8.998,-5.3688,0.5430,0
CSV,A,9.874,-6.1394,0.5508,0
CSV,A,10.741,-6.6082,0.5586,0
CSV,A,11.618,-7.7596,0.5469,0
CSV,A,12.495,-8.0999,0.5547,0
CSV,A,13.371,-8.6520,0.5547,0
CSV,A,14.242,-9.1598,0.5547,0
CSV,A,15.107,-9.6290,0.5547,0
CSV,A,15.985,-9.8187,0.5586,0
CSV,A,16.859,-9.9986,0.5586,0
CSV,A,17.727,-10.4043,0.5586,0
CSV,A,18.602,-10.5321,0.5625,0
CSV,A,19.478,-10.8905,0.5586,0
CSV,A,20.346,-11.2248,0.5508,0
CSV,A,21.210,-11.7720,0.5430,0
CSV,A,22.074,-11.8009,0.5430,0
CSV,A,22.942,-11.8174,0.5430,0
CSV,A,23.819,-12.2829,0.5312,0
CSV,A,24.687,-12.7403,0.5195,0
CSV,A,25.565,-12.6918,0.5195,0
CSV,A,26.433,-12.8823,0.5156,0
CSV,A,27.299,-13.0528,0.5078,0
CSV,A,28.173,-13.2194,0.5000,0
CSV,A,29.044,-13.3619,0.4883,0
CSV,A,29.910,-12.7739,0.5000,0
CSV,A,30.779,-12.9530,0.4922,0
CSV,A,31.656,-13.1221,0.4844,0
CSV,A,32.524,-13.0323,0.4844,0
CSV,A,33.400,-12.9497,0.4844,0
CSV,A,34.271,-12.8793,0.4805,0
CSV,A,35.146,-12.3347,0.4922,0
CSV,A,36.023,-12.0733,0.4961,0
CSV,A,36.890,-11.5929,0.5078,0
CSV,A,37.759,-11.8704,0.5000,0
CSV,A,38.636,-12.1261,0.4961,0
CSV,A,39.513,-11.6468,0.5078,0
CSV,A,40.391,-11.6750,0.5078,0
CSV,A,41.262,-10.9918,0.5234,0
CSV,A,42.132,-11.5526,0.5156,0
CSV,A,43.008,-11.5938,0.5156,0
CSV,A,43.886,-11.6319,0.5156,0
CSV,A,44.752,-11.4213,0.5234,0
CSV,A,45.628,-12.1876,0.5078,0
CSV,A,46.506,-12.4126,0.5000,0
CSV,A,47.385,-12.6196,0.4922,0
CSV,A,48.254,-12.5772,0.4922,0
CSV,A,49.129,-12.2962,0.4961,0
CSV,A,50.007,-12.0415,0.5039,0
CSV,A,50.882,-12.0438,0.5039,0
CSV,A,51.749,-12.2803,0.4961,0
CSV,A,52.625,-12.5031,0.4922,0
CSV,A,53.503,-12.2287,0.4961,0
CSV,A,54.382,-12.4578,0.4883,0
CSV,A,55.252,-12.6665,0.4844,0
CSV,A,56.127,-12.6151,0.4805,0
CSV,A,57.005,-12.8112,0.4766,0
CSV,A,57.882,-12.7471,0.4727,0
CSV,A,58.751,-12.4527,0.4766,0
CSV,A,59.625,-11.9480,0.4883,0
CSV,A,60.503,-11.9595,0.4883,0
CSV,A,61.376,-11.7227,0.4961,0
CSV,A,62.246,-11.5124,0.5000,0
CSV,A,63.110,-11.5569,0.5000,0
CSV,A,63.986,-11.5977,0.5000,0
CSV,A,64.861,-11.3986,0.5078,0
CSV,A,65.729,-11.2121,0.5117,0
CSV,A,66.601,-10.7952,0.5273,0
CSV,A,67.480,-10.8916,0.5273,0
CSV,A,68.345,-11.2205,0.5234,0
CSV,A,69.209,-11.5281,0.5195,0
CSV,A,70.074,-11.8059,0.5156,0
CSV,A,70.941,-12.0614,0.5078,0
CSV,A,71.815,-12.1157,0.5078,0
CSV,A,72.682,-11.8717,0.5117,0
CSV,A,73.558,-12.1220,0.5078,0
CSV,A,74.426,-12.1122,0.5078,0
CSV,A,75.297,-12.3432,0.5000,0
CSV,A,76.169,-11.8358,0.5117,0
CSV,A,77.040,-11.6111,0.5156,0
CSV,A,77.909,-11.6423,0.5195,0
CSV,A,78.776,-11.6728,0.5195,0
CSV,A,79.652,-11.2249,0.5312,0
CSV,A,80.520,-11.2880,0.5312,0
CSV,A,81.397,-11.3450,0.5312,0
CSV,A,82.267,-11.3974,0.5312,0
CSV,A,83.140,-11.6856,0.5273,0
CSV,A,84.015,-11.9559,0.5234,0
CSV,A,84.888,-12.2052,0.5195,0
CSV,A,85.754,-12.1944,0.5156,0
CSV,A,86.628,-12.4296,0.5117,0
CSV,A,87.504,-12.3955,0.5117,0
CSV,A,88.382,-12.3698,0.5078,0
CSV,A,89.251,-12.1054,0.5156,0
CSV,A,90.124,-12.1022,0.5156,0
CSV,A,91.001,-11.8608,0.5195,0
CSV,A,91.878,-12.1119,0.5156,0
CSV,A,92.747,-12.1136,0.5156,0
CSV,A,93.622,-11.6304,0.5234,0
CSV,A,94.499,-11.6677,0.5273,0
CSV,A,95.373,-11.6998,0.5234,0
CSV,A,96.245,-12.2090,0.5156,0
CSV,A,97.117,-11.9582,0.5195,0
CSV,A,97.992,-11.7218,0.5273,0
CSV,A,98.868,-11.7548,0.5273,0
CSV,A,99.734,-12.2596,0.5156,0
CSV,A,100.604,-12.4788,0.5078,0
CSV,A,101.484,-12.6805,0.5039,0
CSV,A,102.359,-12.1461,0.5117,0
CSV,A,103.226,-12.6147,0.5000,0
CSV,A,104.093,-12.5766,0.5000,0
CSV,A,104.962,-12.0568,0.5078,0
CSV,A,105.838,-11.8234,0.5156,0
