delay_us,ts,t_settle_ms,ss_error_mV,ripple_mV,iae,dcm,settled
0.0,1,2.6555,12.762190847222854,39.57347765901886,0.010872185109250572,0,1
0.0,1.5,3.905,0.4444385421056296,29.13319274176196,0.014700000454818004,0,1
0.0,2,4.8950000000000005,13.536834107473084,75.28496863690215,0.017108381880296727,0,1
0.0,2.5,5.86525,0.704370442951685,42.87021335872865,0.01861332733947231,0,1
0.0,3,6.045249999999999,12.818390962602066,72.32226256641638,0.016388831260513548,0,1
0.0,3.5,6.375249999999999,0.48774759340197704,49.499246110872974,0.015180675922170365,0,1
0.0,4,59.99975,-12968.263037220457,1590.5571975430987,0.7681670319690352,623,0
11.399999999999999,1,2.63525,12.630691938381844,62.5234707744049,0.01085555607061662,0,1
11.399999999999999,1.5,3.74475,0.4529758101643466,29.870372939925005,0.014087191486558051,0,1
11.399999999999999,2,4.694999999999999,12.376987588346822,77.74393040715033,0.015959563935723457,0,1
11.399999999999999,2.5,5.625,0.4687328434780369,32.41107665304632,0.016994151610453243,0,1
11.399999999999999,3,5.535,12.292054820370879,70.79201041772087,0.014103424488508105,0,1
11.399999999999999,3.5,5.375249999999999,0.5841454689203829,54.830253452449185,0.0121852060187452,0,1
11.399999999999999,4,59.9355,-13099.161556736706,1840.3370152487319,0.7813969496921856,912,0
65.0,1,2.45575,12.849316519023546,107.45233327764403,0.01051924795113301,0,1
65.0,1.5,3.465,0.5127675004850119,60.43929812460469,0.011668684253049426,0,1
65.0,2,4.44575,12.640212099878312,77.21787944507419,0.011262293169805043,6,1
65.0,2.5,59.99975,0.4505129263279173,786.4935389235815,0.01981411369164222,771,0
65.0,3,59.968999999999994,-16805.26552190156,3221.069884963342,0.9892618943087538,1074,0
65.0,3.5,59.99975,-17858.792288026612,3248.166933984084,1.0519745394004483,982,0
65.0,4,59.99975,-16906.408420839878,3343.2562591423434,1.0076219654225698,1337,0
