layer,schedule,ts_mult,hw_match,gains,adc_bits,pwm_bits,t_settle,overshoot_pct,ss_error,ripple_pp,iae,itae,limit_cycle_amp,dcm_cycles
buckboost,raw_fast,6.2,raw ~62 us,frozen,8,8,0.00240525,0.2640294324177937,0.000436959480245136,0.02665741417766654,0.008958860089314125,5.476670830041276e-05,0.02665741417766654,0
buckboost,n8,50.0,N=8 ~500 us,frozen,8,8,0.11999974999999999,594.7810757253469,-0.6891781005829962,13.88614914744317,0.4026394658280039,0.017492881062470864,13.88614914744317,933704
buckboost,n32,200.0,N=32 ~2 ms,frozen,8,8,0.11999974999999999,1321.4035157767266,-30.086427770176968,129.37105705888172,3.7839225159899836,0.22404579652864773,129.37105705888172,1618264
buckboost,n64,680.0,N=64 ~6.8 ms,frozen,8,8,0.11999974999999999,595.144940678209,-95.84900305620992,333.29170430147394,11.01108023036419,0.6717051843816644,333.29170430147394,1079370
