adc,dcm_hits,iae,itae,kind,limit_cycle_mV,overshoot_pct,pwm,ripple_pp_mV,ss_error_mV,t_settle_ms,ts,vin
-1,0,0.005795166806568292,1.4752987249567016e-05,baseline_continuous,26.686820912370735,0.06899368735675872,-1,26.686820912370735,0.4371364225672636,1.9554999999999998,-1,
16,0,0.010872185109250572,3.0498275224458246e-05,ideal_digital,39.57347765901886,0.017583427083947858,16,39.57347765901886,12.762190847222854,2.6555,1,
16,0,0.010872185109250572,3.0498275224458246e-05,sampling_Ts1x,39.57347765901886,0.017583427083947858,16,39.57347765901886,12.762190847222854,2.6555,1,
16,0,0.017108381880296727,4.830683584857447e-05,sampling_Ts2x,75.28496863690215,0.2992492229427216,16,75.28496863690215,13.536834107473084,4.8950000000000005,2,
16,141616,0.7830446583231151,0.02353338894986532,sampling_Ts5x,1842.913044144172,25.334888284549866,16,1842.913044144172,-13069.161473914115,59.99975,5,
12,0,0.01087252452734491,3.0190325511140964e-05,adc_12bit,53.74128100551978,0.05865151958288728,16,53.74128100551978,12.592147444291157,2.6952499999999997,1,
10,0,0.011022948208523363,3.5439678738348996e-05,adc_10bit,57.787926987492355,0.1920809121457675,16,57.787926987492355,14.895280882734951,2.6149999999999998,1,
8,0,0.010416237227977172,1.9383908406007098e-05,adc_8bit,26.85143500984566,0.2807821080603888,16,26.85143500984566,0.4371709068777818,2.64425,1,
6,0,0.0077409274535992735,1.823231722041022e-05,adc_6bit,27.13638599264634,0.8469390340616315,16,27.13638599264634,0.4342560254713135,3.485,1,
16,0,0.01087210957510703,3.049383343116525e-05,pwm_12bit,39.54595466304234,0.12882171998351502,12,39.54595466304234,12.741800522416469,2.665,1,
16,0,0.010872156235689765,3.0478307494060984e-05,pwm_10bit,39.51277521264274,0.0667528810088944,10,39.51277521264274,12.739544138781866,2.6555,1,
16,0,0.010878939537809858,3.05435250516205e-05,pwm_8bit,39.450907146267866,0.0408793053582243,8,39.450907146267866,12.791445250231348,2.6249999999999996,1,
16,0,0.012483259820309405,8.412918553296527e-05,pwm_6bit,204.7966350428716,0.33010281317306533,6,204.7966350428716,12.79135621160954,2.70525,1,
12,0,0.010849719735795245,2.9593211887412478e-05,combined,59.213809411048146,0.029566725531798118,12,59.213809411048146,12.183885841313469,2.6955,1,
12,0,0.01084392648490632,2.9122738705081537e-05,combined,47.96409457749817,0.07428613671328245,10,47.96409457749817,12.01776415387279,2.66525,1,
12,0,0.010848642052416573,2.9102250560658437e-05,combined,53.666063593732716,0.065849791503784,8,53.666063593732716,12.12462263827696,2.7347499999999996,1,
12,0,0.010869269860605161,3.0008102466478337e-05,combined,34.31160372842612,0.07086930104801824,6,34.31160372842612,12.732887803371895,2.6454999999999997,1,
10,0,0.011022612572525806,3.5811053070421e-05,combined,57.78778960154263,0.1797178462251705,12,57.78778960154263,15.116325057956459,2.62525,1,
10,0,0.011014565337451765,3.540153204618972e-05,combined,57.839322051430386,0.1306342821113636,10,57.839322051430386,14.993697206012513,2.6355,1,
10,0,0.011014546779926504,3.5413155927982075e-05,combined,87.60167608399172,0.010038944411837376,8,87.60167608399172,14.693425042674235,2.68525,1,
10,0,0.010763833777154853,2.8559669336679712e-05,combined,95.47769906049375,0.15924025370873005,6,95.47769906049375,11.205816493760068,2.7352499999999997,1,
8,0,0.01043144273010396,1.9485919636082964e-05,combined,26.85814488405036,0.3463617469598452,12,26.85814488405036,0.435953556827684,2.66475,1,
8,0,0.010423123091523392,1.940116509645952e-05,combined,26.850888106473292,0.2801437716062082,10,26.850888106473292,0.43706645583263537,2.6645,1,
8,0,0.010490410389628101,1.9903364011546484e-05,combined,27.023377048486452,0.35077580700857613,8,27.023377048486452,0.4366680373895093,2.64425,1,
8,0,0.010431154583269911,1.964502906251094e-05,combined,26.95425154932707,0.3510611026477408,6,26.95425154932707,0.4369738629783626,2.6247499999999997,1,
6,0,0.0077885771483691135,1.857301228353516e-05,combined,27.261255766036996,0.8635369814722432,12,27.261255766036996,0.4377921976868038,3.89525,1,
6,0,0.007829884672624217,1.8747018459461914e-05,combined,27.2789182778439,0.8886190811407023,10,27.2789182778439,0.4383895685311501,4.00525,1,
6,0,0.007760528426426314,1.8426186918060585e-05,combined,27.160808879733267,0.8898342056166337,8,27.160808879733267,0.43471572533881897,3.6552499999999997,1,
6,0,0.00772680890558419,1.8506619664252794e-05,combined,27.27241772255873,1.2040963645941898,6,27.27241772255873,0.4385802750803691,2.4855,1,
12,0,0.016926244125525118,4.3415815407073524e-05,combined,43.187164924846755,0.05222318480183678,12,43.187164924846755,12.418145021591442,4.81525,2,
12,0,0.016927380482060335,4.3400962403844875e-05,combined,38.13827516889212,0.05500071514141381,10,38.13827516889212,12.40547987655205,4.8950000000000005,2,
12,0,0.01695102277908946,4.372955785128771e-05,combined,44.10987373755404,0.04933722388607881,8,44.10987373755404,12.950858184703762,4.975,2,
12,0,0.017095881364182632,4.921573390110768e-05,combined,69.62696996705553,0.2471910708700066,6,69.62696996705553,12.834303417138315,4.8549999999999995,2,
10,0,0.01698537855640959,4.672177620398753e-05,combined,60.92045717008254,0.1669204628012594,12,60.92045717008254,13.591550213424952,4.805,2,
10,0,0.017000132171080536,4.6852294261664736e-05,combined,60.85771771002335,0.07569691090494846,10,60.85771771002335,13.57051176891666,4.845,2,
10,0,0.017034805281141378,4.8436079492286046e-05,combined,73.47760429540706,0.18372629243331734,8,73.47760429540706,14.610847848004482,4.885,2,
10,0,0.01697297781931724,4.567367023279323e-05,combined,67.54066776773016,0.08310880174087738,6,67.54066776773016,12.527233736724597,4.984999999999999,2,
8,0,0.016085663239495455,3.2247319289200966e-05,combined,26.928829973661195,0.1831713965225659,12,26.928829973661195,0.43637409980412656,5.015,2,
8,0,0.016037992961306837,3.1849250823572144e-05,combined,26.744319877847644,0.0701193544855984,10,26.744319877847644,0.4364555070175413,4.954249999999999,2,
8,0,0.01605870777912272,3.1986972827864043e-05,combined,26.832649650511797,0.13653891323376205,8,26.832649650511797,0.43663457574716347,4.82575,2,
8,0,0.016003011041402216,3.199198415649924e-05,combined,26.989586906518426,0.2545516725635844,6,26.989586906518426,0.43504709714348166,5.025499999999999,2,
6,0,0.01342193465078392,2.8263041112135347e-05,combined,27.19223695331685,0.40689579594522546,12,27.19223695331685,0.436222708987799,6.26675,2,
6,0,0.013456232043466744,2.8394470272911527e-05,combined,27.165288055233106,0.3866506874891717,10,27.165288055233106,0.43526911253266576,6.4072499999999994,2,
6,0,0.01337496054205525,2.7973759218310336e-05,combined,27.12861941129674,0.36313368370251403,8,27.12861941129674,0.4371106540901337,6.255249999999999,2,
6,0,0.013507201529221809,2.9604547395550467e-05,combined,27.68584270156005,1.0853681610232224,6,27.68584270156005,0.43393114496481644,5.114999999999999,2,
12,138560,0.7881971065286856,0.023692605807976743,combined,1965.5755763845768,26.251866934770362,12,1965.5755763845768,-13159.254942722491,59.99975,5,
12,138524,0.7883089654140836,0.023694525139902355,combined,1965.575576381518,26.370078581757504,10,1965.575576381518,-13159.51282344514,59.99975,5,
12,133180,0.7967309752845617,0.023956070790451013,combined,2332.6789267855793,26.167050488960292,8,2332.6789267855793,-13311.73572333815,59.99975,5,
12,138755,0.7845775776731041,0.023628732814821883,combined,1883.2184062655947,19.525651736544198,6,1883.2184062655947,-13125.033484781181,59.99975,5,
10,133354,0.7919355584744141,0.02375980492141324,combined,2824.0220734210448,23.584809066747894,12,2824.0220734210448,-13182.411425704355,59.99975,5,
10,126934,0.8044647312124625,0.024226596366262603,combined,2805.7856717553946,22.29079981725756,10,2805.7856717553946,-13460.7101751807,59.99975,5,
10,135752,0.7889003610408414,0.023725804379130203,combined,2382.5122928359656,24.984917174952443,8,2382.5122928359656,-13174.722565643833,59.99975,5,
10,131035,0.8001243811197493,0.024135058152047265,combined,3401.5851821171595,28.380011625184437,6,3401.5851821171595,-13403.721551512834,59.99975,5,
8,127075,0.789181185642092,0.024001163260987696,combined,7330.439128882187,19.65542215643098,12,7330.439128882187,-13430.476141938985,59.99975,5,
8,124962,0.8061194413409238,0.024586927567811567,combined,5703.697614352133,10.244163500888371,10,5703.697614352133,-13663.874613303304,59.962999999999994,5,
8,154017,0.7508506029481989,0.022679510343496703,combined,3336.505209023258,24.07516290076716,8,3336.505209023258,-12626.269340246925,59.99975,5,
8,122873,0.6740191299360037,0.022999917402215592,combined,7926.610577472662,12.999789606947134,6,7926.610577472662,-13334.63859648613,59.99975,5,
6,88487,0.33741586746103486,0.007775067242058842,combined,10096.484588778781,198.81170105778872,12,10096.484588778781,-3954.3876818031495,59.99975,5,
6,87982,0.42274576301059985,0.011328290941456032,combined,15849.384585309397,132.87689838676712,10,15849.384585309397,-6137.015408661945,59.99975,5,
6,93669,0.4450680408746785,0.012565714996435197,combined,20167.265974739665,121.12885193861982,8,20167.265974739665,-6917.005236342874,59.99975,5,
6,98556,0.3806386284643607,0.010232346418382006,combined,14090.2618529108,180.39466068749337,6,14090.2618529108,-5644.781889105019,59.99975,5,
